2019-02-28 18:18:24,Socket I/O Statistics,21,TCP/IPv4 sockets opened,_bind
2019-02-28 18:18:24,Socket I/O Statistics,1,TCP/IPv6 sockets opened,_bind
2019-02-28 18:18:24,Socket I/O Statistics,1,Raw sockets opened,_bind
2019-02-28 18:18:24,Socket I/O Statistics,43,UDP/IPv4 sockets closed,_bind
2019-02-28 18:18:24,Socket I/O Statistics,19,TCP/IPv4 sockets closed,_bind
2019-02-28 18:18:24,Socket I/O Statistics,1,UDP/IPv4 socket bind failures,_bind
2019-02-28 18:18:24,Socket I/O Statistics,14,UDP/IPv4 connections established,_bind
2019-02-28 18:18:24,Socket I/O Statistics,3,TCP/IPv4 connections established,_bind
2019-02-28 18:18:24,Socket I/O Statistics,3,TCP/IPv4 connections accepted,_bind
2019-02-28 18:18:24,Socket I/O Statistics,6,UDP/IPv4 sockets active,_bind
2019-02-28 18:18:24,Socket I/O Statistics,7,TCP/IPv4 sockets active,_bind
2019-02-28 18:18:24,Socket I/O Statistics,1,TCP/IPv6 sockets active,_bind
2019-02-28 18:18:24,Socket I/O Statistics,1,Raw sockets active,_bind
2019-02-28 18:19:25,Incoming Requests,5,QUERY,_bind
2019-02-28 18:19:25,Incoming Queries,4,A,_bind
2019-02-28 18:19:25,Incoming Queries,1,MX,_bind
2019-02-28 18:19:25,Outgoing Queries,3,A,default
2019-02-28 18:19:25,Outgoing Queries,7,NS,default
2019-02-28 18:19:25,Outgoing Queries,2,DS,default
2019-02-28 18:19:25,Outgoing Queries,5,DNSKEY,default
2019-02-28 18:19:25,Name Server Statistics,5,IPv4 requests received,_bind
2019-02-28 18:19:25,Name Server Statistics,5,Requests with EDNS(0) received,_bind
2019-02-28 18:19:25,Name Server Statistics,5,Responses sent,_bind
2019-02-28 18:19:25,Name Server Statistics,5,Responses with EDNS(0) sent,_bind
2019-02-28 18:19:25,Name Server Statistics,3,Queries resulted in successful answer,_bind
2019-02-28 18:19:25,Name Server Statistics,2,Queries resulted in authoritative answer,_bind
2019-02-28 18:19:25,Name Server Statistics,3,Queries resulted in non authoritative answer,_bind
